ticker,announcement_date,trade_date,nav,nav_ret,ret,price,day_from_event
ARCC,2015-11-04,,,,,,-1
ARCC,2015-11-04,2015-12-01,16.789578623012126,-0.0004995796450920631,0.003161,15.87,0
ARCC,2015-11-04,2015-12-02,16.789578623012126,-0.0004995796450920631,-0.008822,15.73,1
ARCC,2015-11-04,2015-12-03,16.789578623012126,-0.0004995796450920631,-0.003179,15.68,2
ARCC,2016-02-24,2016-02-23,16.789578623012126,-0.0004995796450920631,0.007015,12.92,-1
ARCC,2016-02-24,2016-02-24,16.457392626619626,-0.019785249162667995,0.0,12.92,0
ARCC,2016-02-24,2016-02-25,16.457392626619626,-0.019785249162667995,0.036378,13.39,1
ARCC,2016-02-24,2016-02-26,16.457392626619626,-0.019785249162667995,0.008962,13.51,2
ARCC,2016-05-04,2016-05-03,16.457392626619626,-0.019785249162667995,-0.006588,15.08,-1
ARCC,2016-05-04,2016-05-04,16.499054001541626,0.0025314687367070654,0.011936,15.26,0
ARCC,2016-05-04,2016-05-05,16.499054001541626,0.0025314687367070654,-0.01114,15.09,1
ARCC,2016-05-04,2016-05-06,16.499054001541626,0.0025314687367070654,0.005302,15.17,2
ARCC,2016-08-03,2016-08-02,16.499054001541626,0.0025314687367070654,-0.011118,15.12,-1
ARCC,2016-08-03,2016-08-03,16.620399803792914,0.007354712715041067,0.017857,15.39,0
ARCC,2016-08-03,2016-08-04,16.620399803792914,0.007354712715041067,0.009747,15.54,1
ARCC,2016-08-03,2016-08-05,16.620399803792914,0.007354712715041067,-0.005148,15.46,2
ARCC,2016-11-02,2016-11-01,16.620399803792914,0.007354712715041067,-0.00915,15.16,-1
ARCC,2016-11-02,2016-11-02,16.59153570268256,-0.0017366670748658608,0.004617,15.23,0
ARCC,2016-11-02,2016-11-03,16.59153570268256,-0.0017366670748658608,-0.000657,15.22,1
ARCC,2016-11-02,2016-11-04,16.59153570268256,-0.0017366670748658608,0.003285,15.27,2
ARCC,2017-02-22,2017-02-21,16.59153570268256,-0.0017366670748658608,0.002265,17.7,-1
ARCC,2017-02-22,2017-02-22,16.44904458598726,-0.00858818130212391,0.002825,17.75,0
ARCC,2017-02-22,2017-02-23,16.44904458598726,-0.00858818130212391,0.00169,17.78,1
ARCC,2017-02-22,2017-02-24,16.44904458598726,-0.00858818130212391,0.000562,17.79,2
ARCC,2017-05-03,2017-05-02,16.44904458598726,-0.00858818130212391,-0.00057,17.53,-1
ARCC,2017-05-03,2017-05-03,16.514084507042252,0.003954024242259102,-0.042213,16.79,0
ARCC,2017-05-03,2017-05-04,16.514084507042252,0.003954024242259102,-0.006552,16.68,1
ARCC,2017-05-03,2017-05-05,16.514084507042252,0.003954024242259102,-0.003597,16.62,2
ARCC,2017-08-02,2017-08-01,16.514084507042252,0.003954024242259102,0.00122,16.41,-1
ARCC,2017-08-02,2017-08-02,16.551643192488264,0.0022743425728501965,0.002438,16.45,0
