ticker,quarter_end_date,nav,announcement_date,Unnamed: 0,trade_date,permno,ticker_1,price,ret,vol,shrout
ARCC,2023-09-30,18.99,2023-10-24 00:00:00,1986,2023-10-23 00:00:00,90401,ARCC,18.81,0.001064,5049117.0,569000.0
ARCC,2023-09-30,18.99,2023-10-24 00:00:00,1987,2023-10-24 00:00:00,90401,ARCC,18.99,0.009569,4099140.0,569437.0
ARCC,2023-09-30,18.99,2023-10-24 00:00:00,1988,2023-10-25 00:00:00,90401,ARCC,18.9,-0.004739,2810351.0,569437.0
ARCC,2023-09-30,18.99,2023-10-24 00:00:00,1989,2023-10-26 00:00:00,90401,ARCC,18.89,-0.000529,2285730.0,569437.0
ARCC,2023-09-30,18.99,2023-10-24 00:00:00,1990,2023-10-27 00:00:00,90401,ARCC,18.66,-0.012176,3004359.0,569437.0
ARCC,2023-06-30,18.58,2023-07-25 00:00:00,1922,2023-07-24 00:00:00,90401,ARCC,19.62,0.005123,2051933.0,557000.0
ARCC,2023-06-30,18.58,2023-07-25 00:00:00,1923,2023-07-25 00:00:00,90401,ARCC,19.41,-0.010703,5635207.0,557379.0
ARCC,2023-06-30,18.58,2023-07-25 00:00:00,1924,2023-07-26 00:00:00,90401,ARCC,19.81,0.020608,8410295.0,557379.0
ARCC,2023-06-30,18.58,2023-07-25 00:00:00,1925,2023-07-27 00:00:00,90401,ARCC,19.75,-0.003029,4518585.0,557379.0
ARCC,2023-06-30,18.58,2023-07-25 00:00:00,1926,2023-07-28 00:00:00,90401,ARCC,19.55,-0.010127,7894602.0,557379.0
ARCC,2023-03-31,18.45,2023-04-25 00:00:00,1860,2023-04-24 00:00:00,90401,ARCC,18.46,0.014286,3182331.0,545000.0
ARCC,2023-03-31,18.45,2023-04-25 00:00:00,1861,2023-04-25 00:00:00,90401,ARCC,18.12,-0.018418,3231955.0,544581.0
ARCC,2023-03-31,18.45,2023-04-25 00:00:00,1862,2023-04-26 00:00:00,90401,ARCC,17.81,-0.017108,3107992.0,544581.0
ARCC,2023-03-31,18.45,2023-04-25 00:00:00,1863,2023-04-27 00:00:00,90401,ARCC,18.32,0.028636,2255344.0,544581.0
ARCC,2023-03-31,18.45,2023-04-25 00:00:00,1864,2023-04-28 00:00:00,90401,ARCC,18.48,0.008734,1655971.0,544581.0
ARCC,2022-12-31,18.4,2023-02-07 00:00:00,1807,2023-02-06 00:00:00,90401,ARCC,19.6,-0.004571,2762252.0,531369.0
ARCC,2022-12-31,18.4,2023-02-07 00:00:00,1808,2023-02-07 00:00:00,90401,ARCC,20.04,0.022449,3707471.0,531369.0
ARCC,2022-12-31,18.4,2023-02-07 00:00:00,1809,2023-02-08 00:00:00,90401,ARCC,19.95,-0.004491,2211255.0,531369.0
ARCC,2022-12-31,18.4,2023-02-07 00:00:00,1810,2023-02-09 00:00:00,90401,ARCC,19.82,-0.006516,2476171.0,531369.0
ARCC,2022-12-31,18.4,2023-02-07 00:00:00,1811,2023-02-10 00:00:00,90401,ARCC,19.74,-0.004036,2207601.0,531369.0
ARCC,2022-09-30,18.56,2022-10-25 00:00:00,1736,2022-10-24 00:00:00,90401,ARCC,18.18,0.020202,3924555.0,508000.0
ARCC,2022-09-30,18.56,2022-10-25 00:00:00,1737,2022-10-25 00:00:00,90401,ARCC,19.05,0.047855,5539295.0,508259.0
