permno,ticker,price,ret,vol,shrout,trade_date
90401,ARCC,15.87,0.003161,1425885.0,314469.0,2015-12-01
90401,ARCC,15.73,-0.008822,1233942.0,314469.0,2015-12-02
90401,ARCC,15.68,-0.003179,1548635.0,314469.0,2015-12-03
90401,ARCC,15.76,0.005102,1454772.0,314469.0,2015-12-04
90401,ARCC,15.36,-0.025381,1968566.0,314469.0,2015-12-07
90401,ARCC,15.24,-0.007812,2949847.0,314469.0,2015-12-08
90401,ARCC,14.88,-0.023622,2445204.0,314469.0,2015-12-09
90401,ARCC,15.22,0.02285,2919892.0,314469.0,2015-12-10
90401,ARCC,14.39,-0.029566,2764194.0,314469.0,2015-12-11
90401,ARCC,14.01,-0.026407,6466226.0,314469.0,2015-12-14
90401,ARCC,14.23,0.015703,3048547.0,314469.0,2015-12-15
90401,ARCC,14.23,0.0,2418092.0,314469.0,2015-12-16
90401,ARCC,14.28,0.003514,2339724.0,314469.0,2015-12-17
90401,ARCC,13.97,-0.021709,2368393.0,314469.0,2015-12-18
90401,ARCC,14.08,0.007874,1705265.0,314469.0,2015-12-21
90401,ARCC,14.2,0.008523,2246745.0,314469.0,2015-12-22
90401,ARCC,14.63,0.030282,2105908.0,314469.0,2015-12-23
90401,ARCC,14.64,0.000684,714611.0,314469.0,2015-12-24
90401,ARCC,14.375,-0.018101,2166984.0,314469.0,2015-12-28
90401,ARCC,14.39,0.001044,1813616.0,314469.0,2015-12-29
90401,ARCC,14.39,0.0,1805900.0,314469.0,2015-12-30
90401,ARCC,14.25,-0.009729,2247106.0,314347.0,2015-12-31
90401,ARCC,14.46,0.014737,2784659.0,314347.0,2016-01-04
90401,ARCC,14.59,0.00899,1483387.0,314347.0,2016-01-05
90401,ARCC,14.54,-0.003427,2168723.0,314347.0,2016-01-06
90401,ARCC,14.08,-0.031637,2210695.0,314347.0,2016-01-07
90401,ARCC,13.91,-0.012074,1902011.0,314347.0,2016-01-08
90401,ARCC,13.82,-0.00647,2523906.0,314347.0,2016-01-11
90401,ARCC,13.97,0.010854,2419965.0,314347.0,2016-01-12
90401,ARCC,13.59,-0.027201,2164477.0,314347.0,2016-01-13
90401,ARCC,13.73,0.010302,2070543.0,314347.0,2016-01-14
90401,ARCC,13.49,-0.01748,3300536.0,314347.0,2016-01-15
90401,ARCC,13.56,0.005189,3162020.0,314347.0,2016-01-19
90401,ARCC,13.22,-0.025074,3711436.0,314347.0,2016-01-20
90401,ARCC,13.39,0.012859,1953835.0,314347.0,2016-01-21
90401,ARCC,13.8,0.03062,1559425.0,314347.0,2016-01-22
90401,ARCC,13.62,-0.013044,1624452.0,314347.0,2016-01-25
90401,ARCC,13.85,0.016887,1331468.0,314347.0,2016-01-26
90401,ARCC,13.74,-0.007942,2095503.0,314347.0,2016-01-27
90401,ARCC,13.76,0.001456,1136209.0,314347.0,2016-01-28
90401,ARCC,13.9,0.010174,1353686.0,314347.0,2016-01-29
90401,ARCC,13.94,0.002878,942108.0,314347.0,2016-02-01
90401,ARCC,13.71,-0.016499,1902329.0,314347.0,2016-02-02
90401,ARCC,13.695,-0.001094,1865232.0,314347.0,2016-02-03
90401,ARCC,13.61,-0.006207,1588215.0,314347.0,2016-02-04
90401,ARCC,13.6,-0.000735,1575355.0,314347.0,2016-02-05
90401,ARCC,13.08,-0.038235,3578233.0,314347.0,2016-02-08
90401,ARCC,12.99,-0.006881,2270397.0,314347.0,2016-02-09
90401,ARCC,12.82,-0.013087,2676051.0,314347.0,2016-02-10
90401,ARCC,12.54,-0.021841,2831757.0,314347.0,2016-02-11
90401,ARCC,12.87,0.026316,2335386.0,314347.0,2016-02-12
90401,ARCC,12.94,0.005439,1789927.0,314347.0,2016-02-16
90401,ARCC,13.21,0.020866,1774483.0,314347.0,2016-02-17
90401,ARCC,13.03,-0.013626,2390910.0,314347.0,2016-02-18
90401,ARCC,12.75,-0.021489,2210483.0,314347.0,2016-02-19
90401,ARCC,12.83,0.006275,3643214.0,314347.0,2016-02-22
90401,ARCC,12.92,0.007015,1505792.0,314347.0,2016-02-23
90401,ARCC,12.92,0.0,2100705.0,314347.0,2016-02-24
90401,ARCC,13.39,0.036378,2749160.0,314347.0,2016-02-25
90401,ARCC,13.51,0.008962,2112166.0,314347.0,2016-02-26
90401,ARCC,13.66,0.011103,2084226.0,314347.0,2016-02-29
90401,ARCC,13.89,0.016838,2243131.0,314347.0,2016-03-01
90401,ARCC,14.08,0.013679,2163919.0,314347.0,2016-03-02
90401,ARCC,14.145,0.004617,1979341.0,314347.0,2016-03-03
90401,ARCC,14.19,0.003181,2302840.0,314347.0,2016-03-04
90401,ARCC,14.27,0.005638,1764170.0,314347.0,2016-03-07
90401,ARCC,14.18,-0.006307,2089911.0,314347.0,2016-03-08
90401,ARCC,14.14,-0.002821,1543320.0,314347.0,2016-03-09
90401,ARCC,14.01,-0.009194,2224597.0,314347.0,2016-03-10
90401,ARCC,13.98,0.024982,2304360.0,314347.0,2016-03-11
90401,ARCC,13.94,-0.002861,1381048.0,314347.0,2016-03-14
90401,ARCC,13.88,-0.004304,1346887.0,314347.0,2016-03-15
90401,ARCC,14.06,0.012968,1556453.0,314347.0,2016-03-16
90401,ARCC,14.26,0.014225,1309301.0,314347.0,2016-03-17
90401,ARCC,14.28,0.001402,1928311.0,314347.0,2016-03-18
90401,ARCC,14.32,0.002801,882535.0,314347.0,2016-03-21
