ticker,announcement_date,trade_date,nav,nav_ret,ret,price,days_from_event
ARCC,2023-10-24,2023-10-23,19.007029876977153,0.022495232902866036,0.001064,18.81,-1
ARCC,2023-10-24,2023-10-24,19.007029876977153,0.022495232902866036,0.009569,18.99,0
ARCC,2023-10-24,2023-10-25,19.007029876977153,0.022495232902866036,-0.004739,18.9,1
ARCC,2023-10-24,2023-10-26,19.007029876977153,0.022495232902866036,-0.000529,18.89,2
ARCC,2023-10-24,2023-10-27,19.007029876977153,0.022495232902866036,-0.012176,18.66,3
ARCC,2023-07-25,2023-07-24,18.58886894075404,0.008153405583734896,0.005123,19.62,-1
ARCC,2023-07-25,2023-07-25,18.58886894075404,0.008153405583734896,-0.010703,19.41,0
ARCC,2023-07-25,2023-07-26,18.58886894075404,0.008153405583734896,0.020608,19.81,1
ARCC,2023-07-25,2023-07-27,18.58886894075404,0.008153405583734896,-0.003029,19.75,2
ARCC,2023-07-25,2023-07-28,18.58886894075404,0.008153405583734896,-0.010127,19.55,3
ARCC,2023-04-25,2023-04-24,18.438532110091742,0.0015278037820631862,0.014286,18.46,-1
ARCC,2023-04-25,2023-04-25,18.438532110091742,0.0015278037820631862,-0.018418,18.12,0
ARCC,2023-04-25,2023-04-26,18.438532110091742,0.0015278037820631862,-0.017108,17.81,1
ARCC,2023-04-25,2023-04-27,18.438532110091742,0.0015278037820631862,0.028636,18.32,2
ARCC,2023-04-25,2023-04-28,18.438532110091742,0.0015278037820631862,0.008734,18.48,3
ARCC,2023-02-07,2023-02-06,18.410404624277458,-0.00885062005797499,-0.004571,19.6,-1
ARCC,2023-02-07,2023-02-07,18.410404624277458,-0.00885062005797499,0.022449,20.04,0
ARCC,2023-02-07,2023-02-08,18.410404624277458,-0.00885062005797499,-0.004491,19.95,1
ARCC,2023-02-07,2023-02-09,18.410404624277458,-0.00885062005797499,-0.006516,19.82,2
ARCC,2023-02-07,2023-02-10,18.410404624277458,-0.00885062005797499,-0.004036,19.74,3
ARCC,2022-10-25,2022-10-24,18.5748031496063,-0.013058129383532457,0.020202,18.18,-1
ARCC,2022-10-25,2022-10-25,18.5748031496063,-0.013058129383532457,0.047855,19.05,0
ARCC,2022-10-25,2022-10-26,18.5748031496063,-0.013058129383532457,0.016273,19.36,1
ARCC,2022-10-25,2022-10-27,18.5748031496063,-0.013058129383532457,0.011364,19.58,2
ARCC,2022-10-25,2022-10-28,18.5748031496063,-0.013058129383532457,0.001021,19.6,3
ARCC,2022-07-26,2022-07-25,18.820564516129032,-0.010711343805137719,-0.007231,19.22,-1
ARCC,2022-07-26,2022-07-26,18.820564516129032,-0.010711343805137719,0.01717,19.55,0
ARCC,2022-07-26,2022-07-27,18.820564516129032,-0.010711343805137719,0.009719,19.74,1
ARCC,2022-07-26,2022-07-28,18.820564516129032,-0.010711343805137719,0.018744,20.11,2
ARCC,2022-07-26,2022-07-29,18.820564516129032,-0.010711343805137719,-0.035803,19.39,3
ARCC,2022-04-26,2022-04-25,19.024340770791074,0.003990920244725249,-0.005044,21.7,-1
ARCC,2022-04-26,2022-04-26,19.024340770791074,0.003990920244725249,-0.087558,19.8,0
ARCC,2022-04-26,2022-04-27,19.024340770791074,0.003990920244725249,0.050505,20.8,1
ARCC,2022-04-26,2022-04-28,19.024340770791074,0.003990920244725249,0.007692,20.96,2
ARCC,2022-04-26,2022-04-29,19.024340770791074,0.003990920244725249,-0.03292,20.27,3
ARCC,2022-02-09,2022-02-07,18.94871794871795,0.023235208429070342,0.016253,22.51,-2
ARCC,2022-02-09,2022-02-08,18.94871794871795,0.023235208429070342,0.00311,22.58,-1
ARCC,2022-02-09,2022-02-09,18.94871794871795,0.023235208429070342,-0.011515,22.32,0
ARCC,2022-02-09,2022-02-10,18.94871794871795,0.023235208429070342,-0.009857,22.1,1
ARCC,2022-02-09,2022-02-11,18.94871794871795,0.023235208429070342,-0.011765,21.84,2
ARCC,2021-10-26,2021-10-25,18.518438177874188,0.02014174166303717,0.001881,21.3,-1
ARCC,2021-10-26,2021-10-26,18.518438177874188,0.02014174166303717,0.004225,21.39,0
ARCC,2021-10-26,2021-10-27,18.518438177874188,0.02014174166303717,0.007948,21.56,1
ARCC,2021-10-26,2021-10-28,18.518438177874188,0.02014174166303717,0.006494,21.7,2
ARCC,2021-10-26,2021-10-29,18.518438177874188,0.02014174166303717,-0.011982,21.44,3
ARCC,2021-07-28,2021-07-26,18.152808988764043,0.03941005347089721,0.00401,20.03,-2
ARCC,2021-07-28,2021-07-27,18.152808988764043,0.03941005347089721,0.004493,20.12,-1
ARCC,2021-07-28,2021-07-28,18.152808988764043,0.03941005347089721,0.012922,20.38,0
ARCC,2021-07-28,2021-07-29,18.152808988764043,0.03941005347089721,-0.026006,19.85,1
ARCC,2021-07-28,2021-07-30,18.152808988764043,0.03941005347089721,0.006045,19.97,2
ARCC,2021-04-28,2021-04-26,17.46453089244851,0.029472765817408098,-0.003579,19.49,-2
ARCC,2021-04-28,2021-04-27,17.46453089244851,0.029472765817408098,0.005644,19.6,-1
ARCC,2021-04-28,2021-04-28,17.46453089244851,0.029472765817408098,-0.011735,19.37,0
ARCC,2021-04-28,2021-04-29,17.46453089244851,0.029472765817408098,0.01239,19.61,1
ARCC,2021-04-28,2021-04-30,17.46453089244851,0.029472765817408098,-0.018358,19.25,2
ARCC,2021-02-10,2021-02-08,16.9645390070922,0.030590262817751013,0.004422,18.17,-2
