date,permno,ticker,price,ret,vol,shrout,mkt_ret,excess_ret,trade_date
2015-12-01,90401,ARCC,15.87,0.003161,1425885.0,314469.0,0.009508,-0.006347,2015-12-01
2015-12-02,90401,ARCC,15.73,-0.008822,1233942.0,314469.0,-0.010722,0.0019,2015-12-02
2015-12-03,90401,ARCC,15.68,-0.003179,1548635.0,314469.0,-0.014317,0.011138,2015-12-03
2015-12-04,90401,ARCC,15.76,0.005102,1454772.0,314469.0,0.016454,-0.011352,2015-12-04
2015-12-07,90401,ARCC,15.36,-0.025381,1968566.0,314469.0,-0.009769,-0.015612,2015-12-07
2015-12-08,90401,ARCC,15.24,-0.007812,2949847.0,314469.0,-0.006113,-0.001699,2015-12-08
2015-12-09,90401,ARCC,14.88,-0.023622,2445204.0,314469.0,-0.00663,-0.016992,2015-12-09
2015-12-10,90401,ARCC,15.22,0.02285,2919892.0,314469.0,0.002053,0.020797,2015-12-10
2015-12-11,90401,ARCC,14.39,-0.029566,2764194.0,314469.0,-0.019829,-0.009737,2015-12-11
2015-12-14,90401,ARCC,14.01,-0.026407,6466226.0,314469.0,0.001577,-0.027984,2015-12-14
2015-12-15,90401,ARCC,14.23,0.015703,3048547.0,314469.0,0.011317,0.004386,2015-12-15
2015-12-16,90401,ARCC,14.23,0.0,2418092.0,314469.0,0.014887,-0.014887,2015-12-16
2015-12-17,90401,ARCC,14.28,0.003514,2339724.0,314469.0,-0.014588,0.018102,2015-12-17
2015-12-18,90401,ARCC,13.97,-0.021709,2368393.0,314469.0,-0.015037,-0.006672,2015-12-18
2015-12-21,90401,ARCC,14.08,0.007874,1705265.0,314469.0,0.007163,0.000711,2015-12-21
2015-12-22,90401,ARCC,14.2,0.008523,2246745.0,314469.0,0.008827,-0.000304,2015-12-22
2015-12-23,90401,ARCC,14.63,0.030282,2105908.0,314469.0,0.013678,0.016604,2015-12-23
2015-12-24,90401,ARCC,14.64,0.000684,714611.0,314469.0,-0.000839,0.001523,2015-12-24
2015-12-28,90401,ARCC,14.375,-0.018101,2166984.0,314469.0,-0.003319,-0.014782,2015-12-28
2015-12-29,90401,ARCC,14.39,0.001044,1813616.0,314469.0,0.010018,-0.008974,2015-12-29
2015-12-30,90401,ARCC,14.39,0.0,1805900.0,314469.0,-0.007358,0.007358,2015-12-30
2015-12-31,90401,ARCC,14.25,-0.009729,2247106.0,314347.0,-0.008181,-0.001548,2015-12-31
2016-01-04,90401,ARCC,14.46,0.014737,2784659.0,314347.0,-0.014891,0.029628,2016-01-04
2016-01-05,90401,ARCC,14.59,0.00899,1483387.0,314347.0,0.001397,0.007593,2016-01-05
2016-01-06,90401,ARCC,14.54,-0.003427,2168723.0,314347.0,-0.013799,0.010372,2016-01-06
2016-01-07,90401,ARCC,14.08,-0.031637,2210695.0,314347.0,-0.023909,-0.007728,2016-01-07
2016-01-08,90401,ARCC,13.91,-0.012074,1902011.0,314347.0,-0.010935,-0.001139,2016-01-08
2016-01-11,90401,ARCC,13.82,-0.00647,2523906.0,314347.0,-0.001736,-0.004734,2016-01-11
2016-01-12,90401,ARCC,13.97,0.010854,2419965.0,314347.0,0.006081,0.004773,2016-01-12
2016-01-13,90401,ARCC,13.59,-0.027201,2164477.0,314347.0,-0.025834,-0.001367,2016-01-13
2016-01-14,90401,ARCC,13.73,0.010302,2070543.0,314347.0,0.015434,-0.005132,2016-01-14
2016-01-15,90401,ARCC,13.49,-0.01748,3300536.0,314347.0,-0.02167,0.00419,2016-01-15
2016-01-19,90401,ARCC,13.56,0.005189,3162020.0,314347.0,-0.002414,0.007603,2016-01-19
2016-01-20,90401,ARCC,13.22,-0.025074,3711436.0,314347.0,-0.010584,-0.01449,2016-01-20
2016-01-21,90401,ARCC,13.39,0.012859,1953835.0,314347.0,0.005654,0.007205,2016-01-21
2016-01-22,90401,ARCC,13.8,0.03062,1559425.0,314347.0,0.022476,0.008144,2016-01-22
2016-01-25,90401,ARCC,13.62,-0.013044,1624452.0,314347.0,-0.016673,0.003629,2016-01-25
2016-01-26,90401,ARCC,13.85,0.016887,1331468.0,314347.0,0.015919,0.000968,2016-01-26
2016-01-27,90401,ARCC,13.74,-0.007942,2095503.0,314347.0,-0.010546,0.002604,2016-01-27
2016-01-28,90401,ARCC,13.76,0.001456,1136209.0,314347.0,0.005035,-0.003579,2016-01-28
2016-01-29,90401,ARCC,13.9,0.010174,1353686.0,314347.0,0.024547,-0.014373,2016-01-29
2016-02-01,90401,ARCC,13.94,0.002878,942108.0,314347.0,-0.000351,0.003229,2016-02-01
2016-02-02,90401,ARCC,13.71,-0.016499,1902329.0,314347.0,-0.020022,0.003523,2016-02-02
2016-02-03,90401,ARCC,13.695,-0.001094,1865232.0,314347.0,0.005729,-0.006823,2016-02-03
2016-02-04,90401,ARCC,13.61,-0.006207,1588215.0,314347.0,0.003623,-0.00983,2016-02-04
2016-02-05,90401,ARCC,13.6,-0.000735,1575355.0,314347.0,-0.019591,0.018856,2016-02-05
2016-02-08,90401,ARCC,13.08,-0.038235,3578233.0,314347.0,-0.016964,-0.021271,2016-02-08
2016-02-09,90401,ARCC,12.99,-0.006881,2270397.0,314347.0,-0.003067,-0.003814,2016-02-09
2016-02-10,90401,ARCC,12.82,-0.013087,2676051.0,314347.0,0.000273,-0.01336,2016-02-10
2016-02-11,90401,ARCC,12.54,-0.021841,2831757.0,314347.0,-0.011979,-0.009862,2016-02-11
2016-02-12,90401,ARCC,12.87,0.026316,2335386.0,314347.0,0.020132,0.006184,2016-02-12
2016-02-16,90401,ARCC,12.94,0.005439,1789927.0,314347.0,0.017684,-0.012245,2016-02-16
2016-02-17,90401,ARCC,13.21,0.020866,1774483.0,314347.0,0.018099,0.002767,2016-02-17
2016-02-18,90401,ARCC,13.03,-0.013626,2390910.0,314347.0,-0.004199,-0.009427,2016-02-18
2016-02-19,90401,ARCC,12.75,-0.021489,2210483.0,314347.0,-0.000231,-0.021258,2016-02-19
2016-02-22,90401,ARCC,12.83,0.006275,3643214.0,314347.0,0.014305,-0.00803,2016-02-22
