,yyyymm,trade_date,permno,ticker,price,ret,vol,shrout
0,201601,2016-01-29,90401,ARCC,13.9,-0.024561,409569.0,314347.0
1,201602,2016-02-29,90401,ARCC,13.66,-0.017266,439261.0,314347.0
2,201603,2016-03-31,90401,ARCC,14.84,0.114202,360190.0,313954.0
3,201604,2016-04-29,90401,ARCC,15.19,0.023585,232295.0,313954.0
4,201605,2016-05-31,90401,ARCC,14.84,-0.023041,380216.0,313954.0
5,201606,2016-06-30,90401,ARCC,14.2,-0.01752,557512.0,313954.0
6,201607,2016-07-29,90401,ARCC,15.14,0.066197,504877.0,313954.0
7,201608,2016-08-31,90401,ARCC,16.16,0.067371,389275.0,313954.0
8,201609,2016-09-30,90401,ARCC,15.5,-0.017327,506851.0,313954.0
9,201610,2016-10-31,90401,ARCC,15.3,-0.012903,395050.0,313954.0
10,201611,2016-11-30,90401,ARCC,16.04,0.048366,446890.0,313954.0
11,201612,2016-12-30,90401,ARCC,16.49,0.051746,642104.0,314000.0
12,201701,2017-01-31,90401,ARCC,16.9,0.024864,776771.0,425941.0
13,201702,2017-02-28,90401,ARCC,17.75,0.050296,548270.0,425941.0
14,201703,2017-03-31,90401,ARCC,17.38,0.000563,557690.0,426000.0
15,201704,2017-04-28,90401,ARCC,17.6,0.012658,268742.0,426299.0
16,201705,2017-05-31,90401,ARCC,16.65,-0.053977,543956.0,426299.0
17,201706,2017-06-30,90401,ARCC,16.38,0.006607,386339.0,426000.0
18,201707,2017-07-31,90401,ARCC,16.39,0.000611,237724.0,426299.0
19,201708,2017-08-31,90401,ARCC,16.06,-0.020134,324195.0,426299.0
20,201709,2017-09-29,90401,ARCC,16.39,0.044209,438414.0,426000.0
21,201710,2017-10-31,90401,ARCC,16.08,-0.018914,319491.0,426299.0
22,201711,2017-11-30,90401,ARCC,16.22,0.008706,342084.0,426299.0
23,201712,2017-12-29,90401,ARCC,15.72,-0.007398,457441.0,426000.0
24,201801,2018-01-31,90401,ARCC,15.95,0.014631,375390.0,426000.0
25,201802,2018-02-28,90401,ARCC,15.79,-0.010031,445461.0,426299.0
26,201803,2018-03-29,90401,ARCC,15.87,0.029132,558484.0,426000.0
27,201804,2018-04-30,90401,ARCC,16.04,0.010712,313801.0,426298.0
28,201805,2018-05-31,90401,ARCC,16.88,0.052369,403165.0,426298.0
29,201806,2018-06-29,90401,ARCC,16.45,-0.002962,438239.0,426000.0
30,201807,2018-07-31,90401,ARCC,16.85,0.024316,299950.0,426298.0
31,201808,2018-08-31,90401,ARCC,17.46,0.036202,310978.0,426298.0
32,201809,2018-09-28,90401,ARCC,17.19,0.006873,333862.0,426000.0
33,201810,2018-10-31,90401,ARCC,17.16,-0.001745,443525.0,426298.0
34,201811,2018-11-30,90401,ARCC,17.04,-0.006993,401430.0,426298.0
35,201812,2018-12-31,90401,ARCC,15.58,-0.062794,743813.0,426000.0
36,201901,2019-01-31,90401,ARCC,16.3,0.046213,474841.0,426000.0
37,201902,2019-02-28,90401,ARCC,17.32,0.062577,421303.0,426298.0
38,201903,2019-03-29,90401,ARCC,17.14,0.013857,429471.0,426000.0
39,201904,2019-04-30,90401,ARCC,18.0,0.050175,288410.0,426298.0
40,201905,2019-05-31,90401,ARCC,17.56,-0.024445,327615.0,426298.0
41,201906,2019-06-28,90401,ARCC,17.94,0.045558,409590.0,427000.0
42,201907,2019-07-31,90401,ARCC,18.57,0.035117,280842.0,426721.0
43,201908,2019-08-30,90401,ARCC,18.86,0.015617,378671.0,426721.0
44,201909,2019-09-30,90401,ARCC,18.635,0.010339,323990.0,427000.0
45,201910,2019-10-31,90401,ARCC,18.3,-0.017977,338663.0,427194.0
46,201911,2019-11-29,90401,ARCC,18.73,0.023497,322667.0,427194.0
47,201912,2019-12-31,90401,ARCC,18.65,0.018153,459596.0,431000.0
48,202001,2020-01-31,90401,ARCC,18.82,0.009115,372356.0,431000.0
49,202002,2020-02-28,90401,ARCC,17.19,-0.08661,584534.0,431076.0
50,202003,2020-03-31,90401,ARCC,10.78,-0.349622,1757107.0,423000.0
51,202004,2020-04-30,90401,ARCC,12.84,0.191095,927322.0,422622.0
52,202005,2020-05-29,90401,ARCC,14.75,0.148754,538147.0,422622.0
53,202006,2020-06-30,90401,ARCC,14.45,0.00678,608953.0,423000.0
54,202007,2020-07-31,90401,ARCC,14.1,-0.024221,403269.0,423000.0
55,202008,2020-08-31,90401,ARCC,14.71,0.043262,454686.0,422622.0
56,202009,2020-09-30,90401,ARCC,13.95,-0.024473,508698.0,423000.0
57,202010,2020-10-30,90401,ARCC,13.83,-0.008602,384065.0,422622.0
58,202011,2020-11-30,90401,ARCC,16.48,0.191612,413989.0,422622.0
59,202012,2020-12-31,90401,ARCC,16.89,0.049151,439214.0,423000.0
60,202101,2021-01-29,90401,ARCC,17.3,0.024275,343344.0,423000.0
61,202102,2021-02-26,90401,ARCC,18.33,0.059538,512233.0,422853.0
62,202103,2021-03-31,90401,ARCC,18.71,0.042553,537548.0,437000.0
63,202104,2021-04-30,90401,ARCC,19.25,0.028862,351045.0,437359.0
64,202105,2021-05-28,90401,ARCC,19.47,0.011429,400830.0,437359.0
65,202106,2021-06-30,90401,ARCC,19.59,0.026708,519256.0,445000.0
66,202107,2021-07-30,90401,ARCC,19.97,0.019398,469067.0,445866.0
