,yyyymm,trade_date,permno,ticker,price,ret,vol,shrout
0,201501,2015-01-30,90401,ARCC,16.65,0.066966,499573.0,314108.0
1,201502,2015-02-27,90401,ARCC,17.3,0.039039,386332.0,314108.0
2,201503,2015-03-31,90401,ARCC,17.17,0.017341,452024.0,314469.0
3,201504,2015-04-30,90401,ARCC,17.02,-0.008736,378093.0,314469.0
4,201505,2015-05-29,90401,ARCC,16.75,-0.015864,358205.0,314469.0
5,201506,2015-06-30,90401,ARCC,16.46,0.005373,335775.0,314469.0
6,201507,2015-07-31,90401,ARCC,16.09,-0.022479,262802.0,314469.0
7,201508,2015-08-31,90401,ARCC,15.77,-0.019888,384468.0,314469.0
8,201509,2015-09-30,90401,ARCC,14.48,-0.057705,435538.0,314469.0
9,201510,2015-10-30,90401,ARCC,15.23,0.051796,319545.0,314469.0
10,201511,2015-11-30,90401,ARCC,15.82,0.038739,203390.0,314469.0
11,201512,2015-12-31,90401,ARCC,14.25,-0.075221,501581.0,314347.0
12,201601,2016-01-29,90401,ARCC,13.9,-0.024561,409569.0,314347.0
13,201602,2016-02-29,90401,ARCC,13.66,-0.017266,439261.0,314347.0
14,201603,2016-03-31,90401,ARCC,14.84,0.114202,360190.0,313954.0
15,201604,2016-04-29,90401,ARCC,15.19,0.023585,232295.0,313954.0
16,201605,2016-05-31,90401,ARCC,14.84,-0.023041,380216.0,313954.0
17,201606,2016-06-30,90401,ARCC,14.2,-0.01752,557512.0,313954.0
18,201607,2016-07-29,90401,ARCC,15.14,0.066197,504877.0,313954.0
19,201608,2016-08-31,90401,ARCC,16.16,0.067371,389275.0,313954.0
20,201609,2016-09-30,90401,ARCC,15.5,-0.017327,506851.0,313954.0
21,201610,2016-10-31,90401,ARCC,15.3,-0.012903,395050.0,313954.0
22,201611,2016-11-30,90401,ARCC,16.04,0.048366,446890.0,313954.0
23,201612,2016-12-30,90401,ARCC,16.49,0.051746,642104.0,314000.0
24,201701,2017-01-31,90401,ARCC,16.9,0.024864,776771.0,425941.0
25,201702,2017-02-28,90401,ARCC,17.75,0.050296,548270.0,425941.0
26,201703,2017-03-31,90401,ARCC,17.38,0.000563,557690.0,426000.0
27,201704,2017-04-28,90401,ARCC,17.6,0.012658,268742.0,426299.0
28,201705,2017-05-31,90401,ARCC,16.65,-0.053977,543956.0,426299.0
29,201706,2017-06-30,90401,ARCC,16.38,0.006607,386339.0,426000.0
30,201707,2017-07-31,90401,ARCC,16.39,0.000611,237724.0,426299.0
31,201708,2017-08-31,90401,ARCC,16.06,-0.020134,324195.0,426299.0
32,201709,2017-09-29,90401,ARCC,16.39,0.044209,438414.0,426000.0
33,201710,2017-10-31,90401,ARCC,16.08,-0.018914,319491.0,426299.0
34,201711,2017-11-30,90401,ARCC,16.22,0.008706,342084.0,426299.0
35,201712,2017-12-29,90401,ARCC,15.72,-0.007398,457441.0,426000.0
36,201801,2018-01-31,90401,ARCC,15.95,0.014631,375390.0,426000.0
37,201802,2018-02-28,90401,ARCC,15.79,-0.010031,445461.0,426299.0
38,201803,2018-03-29,90401,ARCC,15.87,0.029132,558484.0,426000.0
39,201804,2018-04-30,90401,ARCC,16.04,0.010712,313801.0,426298.0
40,201805,2018-05-31,90401,ARCC,16.88,0.052369,403165.0,426298.0
