ticker,event_date,trade_date,nav,nav_ret,ret,price,day_-1,day_0,day_1,day_2,day_3
ARCC,2018-02-13,2018-02-12,16.661971830985916,0.0099601593625497,0.007762,15.58,True,False,False,False,False
ARCC,2018-02-13,2018-02-13,16.661971830985916,0.0099601593625497,0.021181,15.91,False,True,False,False,False
ARCC,2018-02-13,2018-02-14,16.661971830985916,0.0099601593625497,0.010685,16.08,False,False,True,False,False
ARCC,2018-02-13,2018-02-15,16.661971830985916,0.0099601593625497,-0.011194,15.9,False,False,False,True,False
ARCC,2018-02-13,2018-02-16,16.661971830985916,0.0099601593625497,0.005031,15.98,False,False,False,False,True
ARCC,2019-02-12,2019-02-11,17.136150234741784,-0.001777656228634,0.003628,16.6,True,False,False,False,False
ARCC,2019-02-12,2019-02-12,17.136150234741784,-0.001777656228634,0.028313,17.07,False,True,False,False,False
ARCC,2019-02-12,2019-02-13,17.136150234741784,-0.001777656228634,0.000586,17.08,False,False,True,False,False
ARCC,2019-02-12,2019-02-14,17.136150234741784,-0.001777656228634,0.004098,17.15,False,False,False,True,False
ARCC,2019-02-12,2019-02-15,17.136150234741784,-0.001777656228634,0.000583,17.16,False,False,False,False,True
ARCC,2019-04-30,2019-04-29,17.227699530516432,0.0053424657534246,0.004548,17.67,True,False,False,False,False
ARCC,2019-04-30,2019-04-30,17.227699530516432,0.0053424657534246,0.018676,18.0,False,True,False,False,False
ARCC,2019-04-30,2019-05-01,17.227699530516432,0.0053424657534246,-0.016667,17.7,False,False,True,False,False
ARCC,2019-04-30,2019-05-02,17.227699530516432,0.0053424657534246,-0.00226,17.66,False,False,False,True,False
ARCC,2019-04-30,2019-05-03,17.227699530516432,0.0053424657534246,0.00453,17.74,False,False,False,False,True
ARCC,2019-07-30,2019-07-29,17.25526932084309,0.0016003175744865,0.000549,18.22,True,False,False,False,False
ARCC,2019-07-30,2019-07-30,17.25526932084309,0.0016003175744865,0.026345,18.7,False,True,False,False,False
ARCC,2019-07-30,2019-07-31,17.25526932084309,0.0016003175744865,-0.006952,18.57,False,False,True,False,False
ARCC,2019-07-30,2019-08-01,17.25526932084309,0.0016003175744865,-0.013463,18.32,False,False,False,True,False
ARCC,2019-07-30,2019-08-02,17.25526932084309,0.0016003175744865,0.00655,18.44,False,False,False,False,True
ARCC,2020-05-05,2020-05-04,15.562647754137116,-0.1017140508861527,0.002019,12.41,True,False,False,False,False
ARCC,2020-05-05,2020-05-05,15.562647754137116,-0.1017140508861527,0.023368,12.7,False,True,False,False,False
ARCC,2020-05-05,2020-05-06,15.562647754137116,-0.1017140508861527,0.03937,13.2,False,False,True,False,False
ARCC,2020-05-05,2020-05-07,15.562647754137116,-0.1017140508861527,0.00303,13.24,False,False,False,True,False
ARCC,2020-05-05,2020-05-08,15.562647754137116,-0.1017140508861527,0.024925,13.57,False,False,False,False,True
ARCC,2020-08-04,2020-08-03,15.817966903073286,0.0164058939693148,0.023404,14.43,True,False,False,False,False
ARCC,2020-08-04,2020-08-04,15.817966903073286,0.0164058939693148,0.008316,14.55,False,True,False,False,False
ARCC,2020-08-04,2020-08-05,15.817966903073286,0.0164058939693148,0.015808,14.78,False,False,True,False,False
ARCC,2020-08-04,2020-08-06,15.817966903073286,0.0164058939693148,-0.014885,14.56,False,False,False,True,False
ARCC,2020-08-04,2020-08-07,15.817966903073286,0.0164058939693148,0.021291,14.87,False,False,False,False,True
ARCC,2020-10-27,2020-10-26,16.46099290780142,0.0406516215812284,-0.002137,14.01,True,False,False,False,False
ARCC,2020-10-27,2020-10-27,16.46099290780142,0.0406516215812284,0.014632,14.215,False,True,False,False,False
ARCC,2020-10-27,2020-10-28,16.46099290780142,0.0406516215812284,-0.02216,13.9,False,False,True,False,False
ARCC,2020-10-27,2020-10-29,16.46099290780142,0.0406516215812284,0.001439,13.92,False,False,False,True,False
ARCC,2020-10-27,2020-10-30,16.46099290780142,0.0406516215812284,-0.006466,13.83,False,False,False,False,True
ARCC,2021-10-26,2021-10-25,18.518438177874188,0.0201417416630371,0.001881,21.3,True,False,False,False,False
ARCC,2021-10-26,2021-10-26,18.518438177874188,0.0201417416630371,0.004225,21.39,False,True,False,False,False
ARCC,2021-10-26,2021-10-27,18.518438177874188,0.0201417416630371,0.007948,21.56,False,False,True,False,False
ARCC,2021-10-26,2021-10-28,18.518438177874188,0.0201417416630371,0.006494,21.7,False,False,False,True,False
ARCC,2021-10-26,2021-10-29,18.518438177874188,0.0201417416630371,-0.011982,21.44,False,False,False,False,True
ARCC,2022-04-26,2022-04-25,19.02434077079107,0.0039909202447252,-0.005044,21.7,True,False,False,False,False
ARCC,2022-04-26,2022-04-26,19.02434077079107,0.0039909202447252,-0.087558,19.8,False,True,False,False,False
ARCC,2022-04-26,2022-04-27,19.02434077079107,0.0039909202447252,0.050505,20.8,False,False,True,False,False
ARCC,2022-04-26,2022-04-28,19.02434077079107,0.0039909202447252,0.007692,20.96,False,False,False,True,False
ARCC,2022-04-26,2022-04-29,19.02434077079107,0.0039909202447252,-0.03292,20.27,False,False,False,False,True
ARCC,2022-07-26,2022-07-25,18.820564516129032,-0.0107113438051377,-0.007231,19.22,True,False,False,False,False
ARCC,2022-07-26,2022-07-26,18.820564516129032,-0.0107113438051377,0.01717,19.55,False,True,False,False,False
ARCC,2022-07-26,2022-07-27,18.820564516129032,-0.0107113438051377,0.009719,19.74,False,False,True,False,False
ARCC,2022-07-26,2022-07-28,18.820564516129032,-0.0107113438051377,0.018744,20.11,False,False,False,True,False
ARCC,2022-07-26,2022-07-29,18.820564516129032,-0.0107113438051377,-0.035803,19.39,False,False,False,False,True
ARCC,2022-10-25,2022-10-24,18.5748031496063,-0.0130581293835324,0.020202,18.18,True,False,False,False,False
ARCC,2022-10-25,2022-10-25,18.5748031496063,-0.0130581293835324,0.047855,19.05,False,True,False,False,False
ARCC,2022-10-25,2022-10-26,18.5748031496063,-0.0130581293835324,0.016273,19.36,False,False,True,False,False
ARCC,2022-10-25,2022-10-27,18.5748031496063,-0.0130581293835324,0.011364,19.58,False,False,False,True,False
ARCC,2022-10-25,2022-10-28,18.5748031496063,-0.0130581293835324,0.001021,19.6,False,False,False,False,True
ARCC,2023-02-07,2023-02-06,18.410404624277454,-0.0088506200579749,-0.004571,19.6,True,False,False,False,False
ARCC,2023-02-07,2023-02-07,18.410404624277454,-0.0088506200579749,0.022449,20.04,False,True,False,False,False
ARCC,2023-02-07,2023-02-08,18.410404624277454,-0.0088506200579749,-0.004491,19.95,False,False,True,False,False
ARCC,2023-02-07,2023-02-09,18.410404624277454,-0.0088506200579749,-0.006516,19.82,False,False,False,True,False
ARCC,2023-02-07,2023-02-10,18.410404624277454,-0.0088506200579749,-0.004036,19.74,False,False,False,False,True
ARCC,2023-04-25,2023-04-24,18.438532110091742,0.0015278037820631,0.014286,18.46,True,False,False,False,False
ARCC,2023-04-25,2023-04-25,18.438532110091742,0.0015278037820631,-0.018418,18.12,False,True,False,False,False
ARCC,2023-04-25,2023-04-26,18.438532110091742,0.0015278037820631,-0.017108,17.81,False,False,True,False,False
ARCC,2023-04-25,2023-04-27,18.438532110091742,0.0015278037820631,0.028636,18.32,False,False,False,True,False
ARCC,2023-04-25,2023-04-28,18.438532110091742,0.0015278037820631,0.008734,18.48,False,False,False,False,True
ARCC,2023-07-25,2023-07-24,18.58886894075404,0.0081534055837348,0.005123,19.62,True,False,False,False,False
ARCC,2023-07-25,2023-07-25,18.58886894075404,0.0081534055837348,-0.010703,19.41,False,True,False,False,False
ARCC,2023-07-25,2023-07-26,18.58886894075404,0.0081534055837348,0.020608,19.81,False,False,True,False,False
ARCC,2023-07-25,2023-07-27,18.58886894075404,0.0081534055837348,-0.003029,19.75,False,False,False,True,False
ARCC,2023-07-25,2023-07-28,18.58886894075404,0.0081534055837348,-0.010127,19.55,False,False,False,False,True
ARCC,2023-10-24,2023-10-23,19.007029876977153,0.022495232902866,0.001064,18.81,True,False,False,False,False
ARCC,2023-10-24,2023-10-24,19.007029876977153,0.022495232902866,0.009569,18.99,False,True,False,False,False
ARCC,2023-10-24,2023-10-25,19.007029876977153,0.022495232902866,-0.004739,18.9,False,False,True,False,False
ARCC,2023-10-24,2023-10-26,19.007029876977153,0.022495232902866,-0.000529,18.89,False,False,False,True,False
ARCC,2023-10-24,2023-10-27,19.007029876977153,0.022495232902866,-0.012176,18.66,False,False,False,False,True
ARCC,2024-07-30,2024-07-29,19.625396825396827,0.0050742309502418,-0.002864,20.89,True,False,False,False,False
ARCC,2024-07-30,2024-07-30,19.625396825396827,0.0050742309502418,0.018669,21.28,False,True,False,False,False
ARCC,2024-07-30,2024-07-31,19.625396825396827,0.0050742309502418,-0.015977,20.94,False,False,True,False,False
ARCC,2024-07-30,2024-08-01,19.625396825396827,0.0050742309502418,-0.005253,20.83,False,False,False,True,False
ARCC,2024-07-30,2024-08-02,19.625396825396827,0.0050742309502418,-0.025924,20.29,False,False,False,False,True
