,trade_date,permno,ticker,price,ret,vol,shrout
0,2015-12-01,90401,ARCC,15.87,0.003161,1425885.0,314469.0
1,2015-12-02,90401,ARCC,15.73,-0.008822,1233942.0,314469.0
2,2015-12-03,90401,ARCC,15.68,-0.003179,1548635.0,314469.0
3,2015-12-04,90401,ARCC,15.76,0.005102,1454772.0,314469.0
4,2015-12-07,90401,ARCC,15.36,-0.025381,1968566.0,314469.0
5,2015-12-08,90401,ARCC,15.24,-0.007812,2949847.0,314469.0
6,2015-12-09,90401,ARCC,14.88,-0.023622,2445204.0,314469.0
7,2015-12-10,90401,ARCC,15.22,0.02285,2919892.0,314469.0
8,2015-12-11,90401,ARCC,14.39,-0.029566,2764194.0,314469.0
9,2015-12-14,90401,ARCC,14.01,-0.026407,6466226.0,314469.0
10,2015-12-15,90401,ARCC,14.23,0.015703,3048547.0,314469.0
11,2015-12-16,90401,ARCC,14.23,0.0,2418092.0,314469.0
12,2015-12-17,90401,ARCC,14.28,0.003514,2339724.0,314469.0
13,2015-12-18,90401,ARCC,13.97,-0.021709,2368393.0,314469.0
14,2015-12-21,90401,ARCC,14.08,0.007874,1705265.0,314469.0
15,2015-12-22,90401,ARCC,14.2,0.008523,2246745.0,314469.0
16,2015-12-23,90401,ARCC,14.63,0.030282,2105908.0,314469.0
17,2015-12-24,90401,ARCC,14.64,0.000684,714611.0,314469.0
18,2015-12-28,90401,ARCC,14.375,-0.018101,2166984.0,314469.0
19,2015-12-29,90401,ARCC,14.39,0.001044,1813616.0,314469.0
20,2015-12-30,90401,ARCC,14.39,0.0,1805900.0,314469.0
21,2015-12-31,90401,ARCC,14.25,-0.009729,2247106.0,314347.0
22,2016-01-04,90401,ARCC,14.46,0.014737,2784659.0,314347.0
23,2016-01-05,90401,ARCC,14.59,0.00899,1483387.0,314347.0
24,2016-01-06,90401,ARCC,14.54,-0.003427,2168723.0,314347.0
25,2016-01-07,90401,ARCC,14.08,-0.031637,2210695.0,314347.0
26,2016-01-08,90401,ARCC,13.91,-0.012074,1902011.0,314347.0
27,2016-01-11,90401,ARCC,13.82,-0.00647,2523906.0,314347.0
28,2016-01-12,90401,ARCC,13.97,0.010854,2419965.0,314347.0
29,2016-01-13,90401,ARCC,13.59,-0.027201,2164477.0,314347.0
30,2016-01-14,90401,ARCC,13.73,0.010302,2070543.0,314347.0
31,2016-01-15,90401,ARCC,13.49,-0.01748,3300536.0,314347.0
32,2016-01-19,90401,ARCC,13.56,0.005189,3162020.0,314347.0
33,2016-01-20,90401,ARCC,13.22,-0.025074,3711436.0,314347.0
34,2016-01-21,90401,ARCC,13.39,0.012859,1953835.0,314347.0
35,2016-01-22,90401,ARCC,13.8,0.03062,1559425.0,314347.0
36,2016-01-25,90401,ARCC,13.62,-0.013044,1624452.0,314347.0
37,2016-01-26,90401,ARCC,13.85,0.016887,1331468.0,314347.0
38,2016-01-27,90401,ARCC,13.74,-0.007942,2095503.0,314347.0
39,2016-01-28,90401,ARCC,13.76,0.001456,1136209.0,314347.0
40,2016-01-29,90401,ARCC,13.9,0.010174,1353686.0,314347.0
41,2016-02-01,90401,ARCC,13.94,0.002878,942108.0,314347.0
42,2016-02-02,90401,ARCC,13.71,-0.016499,1902329.0,314347.0
43,2016-02-03,90401,ARCC,13.695,-0.001094,1865232.0,314347.0
44,2016-02-04,90401,ARCC,13.61,-0.006207,1588215.0,314347.0
45,2016-02-05,90401,ARCC,13.6,-0.000735,1575355.0,314347.0
46,2016-02-08,90401,ARCC,13.08,-0.038235,3578233.0,314347.0
47,2016-02-09,90401,ARCC,12.99,-0.006881,2270397.0,314347.0
48,2016-02-10,90401,ARCC,12.82,-0.013087,2676051.0,314347.0
49,2016-02-11,90401,ARCC,12.54,-0.021841,2831757.0,314347.0
50,2016-02-12,90401,ARCC,12.87,0.026316,2335386.0,314347.0
51,2016-02-16,90401,ARCC,12.94,0.005439,1789927.0,314347.0
52,2016-02-17,90401,ARCC,13.21,0.020866,1774483.0,314347.0
53,2016-02-18,90401,ARCC,13.03,-0.013626,2390910.0,314347.0
54,2016-02-19,90401,ARCC,12.75,-0.021489,2210483.0,314347.0
55,2016-02-22,90401,ARCC,12.83,0.006275,3643214.0,314347.0
56,2016-02-23,90401,ARCC,12.92,0.007015,1505792.0,314347.0
57,2016-02-24,90401,ARCC,12.92,0.0,2100705.0,314347.0
58,2016-02-25,90401,ARCC,13.39,0.036378,2749160.0,314347.0
59,2016-02-26,90401,ARCC,13.51,0.008962,2112166.0,314347.0
60,2016-02-29,90401,ARCC,13.66,0.011103,2084226.0,314347.0
61,2016-03-01,90401,ARCC,13.89,0.016838,2243131.0,314347.0
62,2016-03-02,90401,ARCC,14.08,0.013679,2163919.0,314347.0
63,2016-03-03,90401,ARCC,14.145,0.004617,1979341.0,314347.0
64,2016-03-04,90401,ARCC,14.19,0.003181,2302840.0,314347.0
65,2016-03-07,90401,ARCC,14.27,0.005638,1764170.0,314347.0
66,2016-03-08,90401,ARCC,14.18,-0.006307,2089911.0,314347.0
67,2016-03-09,90401,ARCC,14.14,-0.002821,1543320.0,314347.0
68,2016-03-10,90401,ARCC,14.01,-0.009194,2224597.0,314347.0
69,2016-03-11,90401,ARCC,13.98,0.024982,2304360.0,314347.0
70,2016-03-14,90401,ARCC,13.94,-0.002861,1381048.0,314347.0
71,2016-03-15,90401,ARCC,13.88,-0.004304,1346887.0,314347.0
72,2016-03-16,90401,ARCC,14.06,0.012968,1556453.0,314347.0
73,2016-03-17,90401,ARCC,14.26,0.014225,1309301.0,314347.0
74,2016-03-18,90401,ARCC,14.28,0.001402,1928311.0,314347.0
75,2016-03-21,90401,ARCC,14.32,0.002801,882535.0,314347.0
76,2016-03-22,90401,ARCC,14.35,0.002095,1022443.0,314347.0
77,2016-03-23,90401,ARCC,14.18,-0.011847,1139961.0,314347.0
78,2016-03-24,90401,ARCC,14.48,0.021157,1458179.0,314347.0
79,2016-03-28,90401,ARCC,14.4,-0.005525,1195069.0,314347.0
80,2016-03-29,90401,ARCC,14.6,0.013889,743614.0,314347.0
81,2016-03-30,90401,ARCC,14.59,-0.000685,1354782.0,314347.0
82,2016-03-31,90401,ARCC,14.84,0.017135,2084782.0,313954.0
83,2016-04-01,90401,ARCC,15.09,0.016846,2210895.0,313954.0
84,2016-04-04,90401,ARCC,14.95,-0.009278,1415668.0,313954.0
